tchexper,absent,readscore,mathscore,totalscore,boy,white_asian,black,tchwhite,tchmasters,freelunch,small,regular
5,11,445,500,945,0,1,0,1,0,0,1,0
6,6,447,528,975,0,0,1,1,0,1,1,0
17,9,447,459,906,0,0,1,1,1,1,0,0
3,27,380,399,779,1,0,1,0,0,1,0,1
13,2,405,484,889,1,1,0,1,1,1,1,0
6,7,439,602,1041,0,0,1,0,0,1,1,0
10,4,430,454,884,0,0,1,0,0,1,0,1
17,42,419,454,873,0,0,1,1,1,1,0,0
12,27,403,459,862,1,0,1,1,1,1,1,0
1,2,433,500,933,0,0,1,0,0,1,0,0
6,24,424,439,863,1,0,1,1,0,1,0,0
5,10,397,434,831,1,0,1,1,0,1,0,1
0,4,500,506,1006,1,0,1,1,0,1,0,0
10,8,414,434,848,1,0,1,0,1,1,0,0
12,23,402,429,831,1,1,0,1,1,1,1,0
10,1,470,602,1072,1,0,1,0,0,1,0,1
12,0,447,506,953,1,0,1,1,1,0,1,0
6,,411,468,879,1,0,1,1,0,0,0,0
7,11,411,449,860,1,1,0,1,0,1,0,0
15,4,424,473,897,0,0,1,0,1,1,0,1
10,1,474,478,952,0,0,1,0,1,1,0,0
2,10,414,444,858,1,0,1,1,0,1,0,1
1,8,395,434,829,1,0,1,1,0,1,0,0
2,14,411,449,860,1,0,1,1,0,1,0,1
14,13,461,454,915,0,0,1,0,0,1,1,0
3,1,358,384,742,1,0,1,0,0,1,0,1
6,27,414,449,863,1,1,0,1,0,1,0,1
24,1,474,602,1076,0,0,1,0,0,0,0,1
2,15,465,626,1091,0,0,1,1,0,0,1,0
21,14,476,513,989,1,0,1,1,0,1,1,0
14,12,411,439,850,1,0,1,1,0,1,1,0
16,9,419,484,903,1,1,0,1,0,0,0,1
16,1,439,500,939,1,1,0,1,0,0,0,1
15,1,450,478,928,0,1,0,0,1,1,0,0
6,3,450,576,1026,0,0,1,0,0,1,0,1
22,3,397,423,820,0,0,1,1,1,1,0,0
3,6,400,449,849,0,0,1,0,0,1,1,0
11,10,424,473,897,0,1,0,1,0,1,0,1
11,20,443,429,872,1,0,1,1,1,1,0,0
6,0,430,468,898,0,0,1,1,0,1,0,1
21,9,468,536,1004,1,0,1,1,0,0,1,0
10,0,439,484,923,0,0,1,1,1,1,0,0
6,6,410,489,899,1,0,1,1,0,1,0,1
1,7,450,536,986,0,0,1,1,0,0,0,1
14,25,418,473,891,0,1,0,1,0,1,1,0
7,14,433,547,980,1,1,0,1,1,0,0,0
12,8,402,439,841,1,0,1,1,1,1,1,0
1,18,407,454,861,1,1,0,1,0,0,1,0
12,6,428,478,906,0,0,1,1,1,1,1,0
12,19,422,459,881,1,1,0,1,0,1,1,0
4,22,405,473,878,1,1,0,1,0,1,1,0
2,6,411,454,865,0,1,0,1,0,0,0,1
10,15,467,489,956,1,1,0,1,0,1,0,1
1,7,427,513,940,1,0,1,0,0,1,0,1
12,51,414,484,898,1,1,0,1,1,1,0,0
7,16,395,434,829,1,1,0,1,1,1,1,0
22,24,430,468,898,1,1,0,1,1,1,0,1
3,0,408,439,847,1,1,0,1,0,0,0,1
7,0,421,449,870,1,0,1,1,0,1,1,0
5,5,439,489,928,1,1,0,1,0,0,1,0
12,4,507,559,1066,1,1,0,1,1,0,0,0
0,8,455,576,1031,1,1,0,1,0,0,0,1
19,13,391,444,835,0,1,0,1,0,0,1,0
15,16,425,463,888,0,1,0,1,0,1,1,0
15,14,405,418,823,1,1,0,1,0,1,0,1
13,17,393,412,805,0,1,0,1,0,1,0,1
0,13,395,489,884,1,0,1,1,0,1,0,1
0,18,428,500,928,0,1,0,1,0,1,0,1
1,13,424,463,887,1,1,0,1,0,0,1,0
14,8,503,602,1105,1,1,0,1,0,0,1,0
2,7,419,494,913,0,0,1,1,0,1,0,1
6,21,402,429,831,1,1,0,1,1,1,0,1
8,8,445,547,992,0,1,0,1,1,0,0,0
1,8,433,463,896,0,1,0,1,0,1,0,1
5,12,411,444,855,0,1,0,1,0,1,1,0
13,24,408,473,881,1,1,0,1,1,1,0,1
12,2,447,536,983,0,1,0,1,0,0,1,0
17,5,400,444,844,1,0,1,1,0,1,0,0
1,0,434,439,873,0,1,0,1,0,1,0,1
11,3,414,454,868,1,1,0,1,0,0,1,0
12,6,418,459,877,0,1,0,1,1,0,0,0
10,3,413,454,867,1,1,0,1,1,1,1,0
8,23,378,405,783,0,1,0,1,0,1,1,0
16,5,439,520,959,0,1,0,1,0,0,0,1
15,12,451,536,987,1,1,0,1,0,0,0,0
17,8,485,576,1061,1,1,0,1,0,0,0,0
8,13,458,559,1017,1,1,0,1,1,0,1,0
12,6,439,547,986,0,1,0,1,0,1,1,0
7,6,397,405,802,1,0,1,1,0,1,0,0
13,17,416,468,884,0,1,0,1,0,1,0,0
3,6,402,412,814,1,1,0,1,0,0,1,0
13,5,439,536,975,1,1,0,1,1,0,0,1
13,5,437,547,984,1,1,0,1,0,0,0,1
9,70,403,444,847,1,1,0,1,1,1,0,0
15,17,418,444,862,1,1,0,1,1,1,1,0
15,6,414,478,892,1,0,1,0,1,1,0,0
17,3,407,463,870,1,0,1,1,0,0,0,0
8,16,416,484,900,1,1,0,1,0,1,0,0
6,17,413,444,857,1,1,0,1,1,1,1,0
9,48,447,473,920,1,1,0,1,0,1,0,0
13,19,439,463,902,1,1,0,1,1,0,0,1
13,18,413,423,836,1,0,1,1,1,1,0,1
13,8,451,473,924,1,1,0,1,1,0,0,1
5,2,436,468,904,1,1,0,0,0,0,0,0
2,0,405,434,839,1,1,0,1,0,0,1,0
3,0,474,626,1100,1,1,0,1,0,0,0,0
17,3,421,463,884,1,1,0,1,0,0,0,0
9,8,400,439,839,1,1,0,1,0,0,0,0
8,10,410,423,833,1,1,0,1,1,0,0,0
11,11,461,513,974,1,1,0,1,0,0,0,1
10,11,433,478,911,0,0,1,1,0,1,0,1
8,7,413,399,812,1,1,0,1,0,0,0,1
13,13,447,520,967,1,1,0,1,1,0,0,0
11,6,414,434,848,1,1,0,1,0,1,1,0
11,15,425,429,854,1,0,1,1,0,1,1,0
8,14,425,500,925,1,1,0,1,1,0,1,0
18,4,476,536,1012,0,1,0,1,0,0,0,0
1,1,428,459,887,0,1,0,1,0,0,1,0
11,2,580,576,1156,1,1,0,1,0,0,0,1
15,7,461,489,950,1,1,0,1,0,0,0,1
17,11,418,520,938,1,1,0,1,0,0,0,0
6,30,407,405,812,0,0,1,1,1,1,0,1
3,4,422,449,871,1,1,0,1,0,0,0,1
19,22,410,454,864,1,1,0,1,0,1,1,0
15,22,492,559,1051,0,1,0,1,1,0,0,1
13,22,425,444,869,1,1,0,1,1,1,0,1
8,17,483,559,1042,1,1,0,1,0,0,1,0
3,24,397,439,836,1,0,1,1,0,1,1,0
15,16,430,489,919,1,1,0,1,0,0,1,0
3,8,405,399,804,0,1,0,0,0,1,0,1
13,13,427,478,905,0,1,0,1,0,0,0,1
2,6,405,513,918,1,1,0,1,0,1,1,0
8,4,400,418,818,0,1,0,1,1,0,1,0
8,3,433,473,906,1,1,0,1,0,0,1,0
10,17,425,463,888,1,0,1,1,1,0,0,0
3,14,453,528,981,1,0,1,0,0,1,1,0
13,12,439,506,945,0,1,0,1,1,1,0,1
13,25,419,478,897,1,1,0,1,1,0,1,0
13,9,450,494,944,1,1,0,1,1,0,0,1
14,12,470,547,1017,1,1,0,1,0,1,0,0
2,5,428,468,896,1,0,1,1,0,0,0,1
8,4,419,468,887,1,1,0,1,1,1,0,0
13,14,439,454,893,1,1,0,1,1,1,0,1
7,16,483,602,1085,1,1,0,1,1,0,1,0
4,6,398,439,837,1,1,0,1,1,1,0,1
13,3,472,520,992,1,1,0,1,0,0,0,0
12,16,470,576,1046,0,1,0,1,1,0,1,0
12,5,443,547,990,0,1,0,1,1,0,0,0
4,5,421,449,870,1,0,1,1,1,1,0,1
12,14,476,576,1052,1,1,0,1,1,0,1,0
12,14,474,536,1010,1,1,0,1,1,0,1,0
13,6,407,463,870,1,1,0,1,1,1,0,1
18,3,490,528,1018,1,1,0,1,0,0,0,0
18,7,497,602,1099,1,1,0,1,1,0,1,0
14,28,453,602,1055,0,1,0,1,0,1,1,0
13,3,465,559,1024,1,1,0,1,1,0,0,1
9,0,395,418,813,1,1,0,1,0,1,1,0
11,6,448,528,976,1,1,0,0,0,0,1,0
5,6,468,528,996,1,1,0,1,0,0,1,0
5,4,405,494,899,1,0,1,0,0,1,0,0
8,8,456,489,945,0,1,0,1,1,0,0,0
18,0,476,520,996,0,1,0,1,0,0,0,0
1,4,439,500,939,1,1,0,1,0,0,0,1
12,6,437,528,965,1,1,0,1,1,0,0,0
7,4,440,484,924,0,1,0,1,0,0,0,0
16,10,430,473,903,1,1,0,0,0,1,1,0
12,7,422,506,928,1,1,0,1,1,0,0,0
1,3,453,528,981,0,1,0,1,0,0,1,0
11,35,395,449,844,0,1,0,1,0,1,0,1
14,14,433,484,917,1,1,0,1,1,0,0,0
12,16,410,392,802,0,1,0,1,0,1,1,0
11,5,440,468,908,0,1,0,1,0,0,1,0
5,60,408,412,820,0,1,0,1,1,0,1,0
6,9,425,429,854,0,1,0,1,1,0,0,1
4,9,460,547,1007,1,1,0,1,1,0,1,0
12,35,421,484,905,1,1,0,1,0,0,0,1
3,6,419,434,853,0,1,0,1,0,0,0,0
0,13,451,506,957,1,1,0,1,0,0,1,0
17,12,416,494,910,0,1,0,1,0,0,0,0
6,19,400,405,805,1,1,0,1,0,1,1,0
9,11,463,576,1039,0,1,0,1,0,0,0,0
15,6,419,506,925,1,0,1,1,1,1,0,1
3,29,439,484,923,0,1,0,1,0,0,0,0
8,23,416,468,884,1,1,0,1,0,0,1,0
11,5,437,473,910,1,1,0,1,1,0,1,0
9,26,458,484,942,1,1,0,1,0,0,0,0
5,11,430,528,958,1,1,0,1,1,1,0,1
3,12,463,528,991,0,1,0,1,0,0,0,0
16,16,445,500,945,1,1,0,1,1,1,0,1
1,,416,468,884,1,1,0,1,0,1,1,0
4,14,400,423,823,1,1,0,1,0,0,1,0
10,12,424,444,868,1,0,1,1,0,1,0,0
3,11,413,439,852,0,1,0,1,0,0,0,0
7,5,437,444,881,1,1,0,1,0,0,0,0
13,1,410,500,910,0,1,0,1,1,0,0,1
3,38,411,418,829,0,1,0,1,0,0,0,0
13,2,422,473,895,1,1,0,1,1,1,0,0
12,7,437,513,950,1,1,0,1,0,0,1,0
8,8,424,547,971,0,1,0,1,1,0,0,0
20,5,455,506,961,0,1,0,1,0,1,0,1
0,0,427,459,886,0,1,0,1,0,1,0,0
5,6,408,429,837,1,0,1,0,0,1,0,0
21,1,463,494,957,0,0,1,1,0,0,1,0
11,10,465,576,1041,1,1,0,1,0,0,1,0
2,1,410,439,849,1,1,0,1,0,1,0,1
9,18,391,429,820,0,1,0,1,0,1,0,0
8,5,437,454,891,0,1,0,1,0,1,0,1
0,20,428,494,922,1,1,0,1,0,0,0,1
8,3,522,559,1081,0,1,0,1,0,0,0,1
14,13,403,434,837,1,1,0,1,0,1,1,0
5,3,425,484,909,1,1,0,1,0,0,0,1
13,21,443,489,932,0,1,0,1,1,0,0,1
6,5,419,463,882,1,1,0,1,1,0,0,1
11,7,472,513,985,1,1,0,1,1,0,0,0
7,0,391,439,830,1,1,0,1,1,1,1,0
1,15,422,459,881,0,1,0,1,0,1,0,1
8,21,453,559,1012,1,1,0,1,0,1,0,1
2,20,402,449,851,1,1,0,1,0,1,0,0
6,5,443,520,963,0,1,0,1,1,0,0,0
16,5,443,500,943,0,1,0,1,0,0,0,1
6,14,437,547,984,0,1,0,1,1,0,0,0
16,2,427,454,881,0,1,0,1,0,0,0,1
27,5,434,536,970,1,1,0,1,0,0,0,0
14,7,408,494,902,0,1,0,1,0,1,0,0
27,22,430,468,898,1,1,0,1,0,1,0,0
8,18,450,528,978,0,1,0,1,0,1,1,0
11,19,419,489,908,1,1,0,1,1,0,0,1
12,4,427,494,921,1,1,0,1,1,0,0,0
10,6,460,576,1036,0,1,0,1,1,0,1,0
7,5,418,459,877,0,1,0,1,1,0,1,0
3,7,461,602,1063,1,1,0,1,0,0,1,0
8,12,437,513,950,0,1,0,1,1,0,1,0
12,27,428,478,906,0,0,1,1,1,1,0,0
7,5,503,513,1016,1,1,0,1,0,0,1,0
8,33,467,576,1043,1,1,0,1,1,0,1,0
13,33,487,489,976,1,1,0,1,1,0,0,1
13,1,442,547,989,0,1,0,1,1,0,0,1
1,26,419,454,873,1,0,1,1,0,1,1,0
16,10,518,520,1038,1,1,0,1,0,0,0,0
5,8,440,513,953,0,1,0,1,1,0,0,1
12,11,397,434,831,1,1,0,1,1,1,0,1
13,9,460,559,1019,0,1,0,1,1,0,0,0
8,11,443,500,943,1,1,0,1,1,0,1,0
15,24,445,473,918,1,1,0,1,0,0,0,0
5,20,424,506,930,1,1,0,1,1,1,0,1
17,0,431,506,937,0,1,0,1,1,0,0,1
12,9,448,494,942,0,1,0,1,0,1,1,0
8,8,418,434,852,0,1,0,1,1,1,0,0
19,15,448,513,961,1,1,0,1,0,0,1,0
,8,428,463,891,1,1,0,0,0,0,0,0
14,29,448,459,907,0,1,0,1,0,0,0,1
14,8,443,520,963,1,1,0,1,0,0,0,1
0,0,463,547,1010,0,1,0,1,0,0,0,1
17,4,424,478,902,0,1,0,1,1,1,1,0
11,16,410,463,873,1,1,0,1,0,0,0,0
3,6,474,536,1010,0,1,0,1,0,0,0,1
13,7,434,478,912,1,1,0,1,0,1,0,1
13,17,447,528,975,1,1,0,1,1,0,1,0
3,42,421,449,870,1,1,0,1,0,0,0,0
8,1,425,478,903,1,1,0,1,1,0,0,0
13,31,410,468,878,0,1,0,1,1,0,0,1
13,18,437,463,900,1,1,0,1,0,1,0,1
12,0,402,449,851,1,1,0,1,0,0,1,0
8,12,430,559,989,0,1,0,1,1,0,0,0
14,1,468,602,1070,1,1,0,1,0,0,1,0
13,4,443,459,902,0,1,0,1,0,0,0,1
6,13,405,484,889,0,1,0,1,1,1,1,0
6,4,408,473,881,0,1,0,1,1,0,1,0
9,6,467,506,973,1,0,1,1,1,0,0,0
12,5,514,559,1073,1,1,0,1,1,0,1,0
12,3,480,576,1056,0,1,0,1,1,0,0,0
12,16,440,459,899,0,1,0,1,0,1,1,0
3,4,483,559,1042,1,1,0,1,0,0,0,1
11,10,403,468,871,1,0,1,1,1,1,0,0
10,5,427,454,881,1,0,1,0,1,1,1,0
13,11,545,520,1065,0,1,0,1,1,0,0,0
9,24,403,444,847,1,1,0,1,0,1,0,0
15,14,527,547,1074,1,1,0,1,1,0,1,0
5,13,447,478,925,0,1,0,1,0,1,0,1
9,6,436,536,972,1,1,0,1,0,0,0,0
5,3,433,513,946,1,1,0,1,0,1,1,0
13,17,425,444,869,1,1,0,1,1,0,0,1
5,46,424,506,930,1,1,0,1,1,0,0,1
15,21,407,463,870,0,1,0,1,0,0,0,0
20,1,490,576,1066,1,1,0,0,0,0,0,1
11,4,456,547,1003,1,1,0,1,1,0,0,0
1,10,455,536,991,1,1,0,1,0,1,1,0
11,8,390,339,729,1,0,1,1,0,1,0,0
8,1,448,459,907,1,0,1,1,0,0,0,1
12,5,398,412,810,1,0,1,1,1,1,1,0
11,11,430,494,924,1,1,0,1,0,1,0,0
8,2,425,484,909,0,1,0,1,1,0,0,0
7,21,424,513,937,1,0,1,1,0,0,0,0
7,16,416,468,884,1,1,0,1,0,0,0,0
7,2,393,454,847,1,1,0,1,0,0,0,0
8,22,402,459,861,0,1,0,1,1,0,0,0
11,8,425,459,884,1,1,0,1,0,1,0,0
11,14,405,454,859,0,1,0,1,0,1,0,0
22,0,421,484,905,0,1,0,1,1,0,0,1
7,15,428,484,912,0,1,0,1,0,0,0,0
13,13,437,463,900,1,1,0,1,1,0,0,1
16,19,461,536,997,1,1,0,1,0,0,1,0
6,15,416,513,929,1,1,0,1,0,0,0,1
